i,x_inf,x_sup,theta_inf,theta_sup,lam2_sup,lam3_inf,isOK
1,0.98313052339649154,1.0009999999999999,0.026071902815524406,0.026545567668210895,19352.440639661476,19618.102256470876,OK
2,0.96673961915725626,0.98313052339649154,0.026545567668210895,0.026995426400139768,19203.836312162661,19451.70067373888,OK
3,0.98313052339649154,1.0009999999999999,0.026545567668210895,0.026995426400139768,18724.636669951939,19042.550555308779,OK
4,0.95047821377382835,0.96673961915725626,0.026995426400139768,0.027457051740752362,19138.896100252608,19350.414107041215,OK
5,0.96673961915725626,0.98313052339649154,0.026995426400139768,0.027457051740752362,18621.646025787271,18880.539540463309,OK
6,0.98313052339649154,1.0009999999999999,0.026995426400139768,0.027457051740752362,18160.99356101513,18482.372190897608,OK
7,0.93565413736122083,0.95047821377382835,0.027457051740752362,0.027891844893416114,19057.065995801229,19335.72743743749,OK
8,0.95047821377382835,0.96673961915725626,0.027457051740752362,0.027891844893416114,18556.744026987144,18816.078619963304,OK
9,0.96673961915725626,0.98313052339649154,0.027457051740752362,0.027891844893416114,18053.609405172938,18360.781343082283,OK
10,0.98313052339649154,1.0009999999999999,0.027457051740752362,0.027891844893416114,17607.140001412597,17971.600937633248,OK
11,0.92137462356982991,0.93565413736122083,0.027891844893416114,0.02832388482500978,19024.918033013917,19320.325690283484,OK
12,0.93565413736122083,0.95047821377382835,0.027891844893416114,0.02832388482500978,18514.262423023982,18818.965475250887,OK
13,0.95047821377382835,0.96673961915725626,0.027891844893416114,0.02832388482500978,18028.927719925847,18313.577697998575,OK
14,0.96673961915725626,0.98313052339649154,0.027891844893416114,0.02832388482500978,17530.489454301871,17865.494757675151,OK
15,0.98313052339649154,1.0009999999999999,0.027891844893416114,0.02832388482500978,17110.464802936218,17492.381648640181,OK
16,0.90722908779059752,0.92137462356982991,0.02832388482500978,0.02876526975187112,19001.294338645177,19300.076211138505,OK
17,0.92137462356982991,0.93565413736122083,0.02832388482500978,0.02876526975187112,18490.842429317567,18799.562359836764,OK
18,0.93565413736122083,0.95047821377382835,0.02832388482500978,0.02876526975187112,18000.508507254886,18309.360374142943,OK
19,0.95047821377382835,0.96673961915725626,0.02832388482500978,0.02876526975187112,17527.536742939985,17816.53073372904,OK
20,0.96673961915725626,0.98313052339649154,0.02832388482500978,0.02876526975187112,17044.763645282404,17386.673785373114,OK
21,0.98313052339649154,1.0009999999999999,0.02832388482500978,0.02876526975187112,16634.634385025798,17021.179808245943,OK
22,0.89332671584406187,0.90722908779059752,0.02876526975187112,0.029212675765805728,18995.397024800157,19289.222867709737,OK
23,0.90722908779059752,0.92137462356982991,0.02876526975187112,0.029212675765805728,18470.882549479025,18777.310695541357,OK
24,0.92137462356982991,0.93565413736122083,0.02876526975187112,0.029212675765805728,17969.919396905367,18284.809599598804,OK
25,0.93565413736122083,0.95047821377382835,0.02876526975187112,0.029212675765805728,17496.744614020987,17809.543295038096,OK
26,0.95047821377382835,0.96673961915725626,0.02876526975187112,0.029212675765805728,17031.829192285848,17333.936687786136,OK
27,0.96673961915725626,0.98313052339649154,0.02876526975187112,0.029212675765805728,16568.497637974517,16915.027533443172,OK
28,0.98313052339649154,1.0009999999999999,0.02876526975187112,0.029212675765805728,16170.183403478761,16562.587983068879,OK
29,0.87973061924224361,0.89332671584406187,0.029212675765805728,0.029663890226271271,18979.35278417818,19289.450512074818,OK
30,0.89332671584406187,0.90722908779059752,0.029212675765805728,0.029663890226271271,18454.07720478957,18770.465218248042,OK
31,0.90722908779059752,0.92137462356982991,0.029212675765805728,0.029663890226271271,17955.542721833281,18269.679906808113,OK
32,0.92137462356982991,0.93565413736122083,0.029212675765805728,0.029663890226271271,17470.997460200942,17800.647635861395,OK
33,0.93565413736122083,0.95047821377382835,0.029212675765805728,0.029663890226271271,17002.832582732131,17334.341173406327,OK
34,0.95047821377382835,0.96673961915725626,0.029212675765805728,0.029663890226271271,16555.827324076537,16870.062040052937,OK
35,0.96673961915725626,0.98313052339649154,0.029212675765805728,0.029663890226271271,16107.547456082557,16462.001203862692,OK
36,0.98313052339649154,1.0009999999999999,0.029212675765805728,0.029663890226271271,15698.046514205811,16161.663421061163,OK
37,0.86628658652326695,0.87973061924224361,0.029663890226271271,0.03012397230426531,18973.51744895658,19284.485361532817,OK
38,0.87973061924224361,0.89332671584406187,0.029663890226271271,0.03012397230426531,18450.106585793121,18767.140377235555,OK
39,0.89332671584406187,0.90722908779059752,0.029663890226271271,0.03012397230426531,17945.899190223219,18266.172410270239,OK
40,0.90722908779059752,0.92137462356982991,0.029663890226271271,0.03012397230426531,17450.918317162064,17777.667813788401,OK
41,0.92137462356982991,0.93565413736122083,0.029663890226271271,0.03012397230426531,16982.165956835892,17320.008700606413,OK
42,0.93565413736122083,0.95047821377382835,0.029663890226271271,0.03012397230426531,16537.802362511542,16866.860419438661,OK
43,0.95047821377382835,0.96673961915725626,0.029663890226271271,0.03012397230426531,16099.907624589214,16418.078810391456,OK
44,0.96673961915725626,0.98313052339649154,0.029663890226271271,0.03012397230426531,15663.756103197318,16023.66241156805,OK
45,0.98313052339649154,1.0009999999999999,0.029663890226271271,0.03012397230426531,15283.932959921203,15688.823189249282,OK
